,No,Original_Name,Japanese_Name,Generation,Generation_Str,Height_m,Weight_kg,BMI,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution_Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Wartortle,8.0,Wartortle,Kameil,1.0,I,1.0,22.5,22.5,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0.0,20.0,Monster,Water1,45.0,142.0,1058960.0,Ordinary,,,59.0,63.0,80.0,65.0,80.0,58.0,405.0,67.5,0.0,0.0,1.0,0.0,1.0,0.0,"1 Defense, 1 Special Defense",50.0,Medium Slow,20.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Turtle,3 stages evolution,Squirtle,Level ,Wartortle,Level ,Blastoise,,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
Blastoise(Mega EV),9.0,Blastoise,,1.0,I,1.6,101.1,,Water,,Mega Launcher,,,Blue,87.5,12.5,0.0,20.0,Monster,Water1,45.0,284.0,1058960.0,Ordinary,Mega,,79.0,103.0,120.0,135.0,115.0,78.0,630.0,,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,9.0,Blastoise,Kamex,1.0,I,1.6,85.5,33.4,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0.0,20.0,Monster,Water1,45.0,265.0,1058960.0,Ordinary,,,79.0,83.0,100.0,85.0,105.0,78.0,530.0,88.33333333333333,0.0,0.0,0.0,0.0,3.0,0.0,3 Special Defense,50.0,Medium Slow,20.0,Medium Slow,1059860.0,1.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Blastoise,Mega Blastoise,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Shellfish,3 stages evolution,Squirtle,Level ,Wartortle,Level ,Blastoise,,,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
Caterpie,10.0,Caterpie,Caterpie,1.0,I,0.3,2.9,32.2,Bug,,Shield Dust,,Run Away,Green,50.0,50.0,0.0,15.0,Bug,,255.0,39.0,1000000.0,Ordinary,,,45.0,30.0,35.0,20.0,20.0,45.0,195.0,32.5,1.0,0.0,0.0,0.0,0.0,0.0,1 HP,50.0,Medium Fast,15.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Worm,3 stages evolution,Caterpie,Level ,Metapod,Level ,Butterfree,,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
Metapod,11.0,Metapod,Transel,1.0,I,0.7,9.9,20.2,Bug,,Shed Skin,,,Green,50.0,50.0,0.0,15.0,Bug,,120.0,72.0,1000000.0,Ordinary,,,50.0,20.0,55.0,25.0,25.0,30.0,205.0,34.166666666666664,0.0,0.0,2.0,0.0,0.0,0.0,2 Defense,50.0,Medium Fast,15.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,Cocoon,3 stages evolution,Caterpie,Level ,Metapod,Level ,Butterfree,,,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
Butterfree,12.0,Butterfree,Butterfree,1.0,I,1.1,32.0,26.4,Bug,Flying,Compound Eyes,,Tinted Lens,White,50.0,50.0,0.0,15.0,Bug,,45.0,198.0,1000000.0,Ordinary,,,60.0,45.0,50.0,90.0,80.0,70.0,395.0,65.83333333333333,0.0,0.0,0.0,2.0,1.0,0.0,"2 Special Attack, 1 Special Defense",50.0,Medium Fast,15.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Butterfree,,,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,Butterfly,3 stages evolution,Caterpie,Level ,Metapod,Level ,Butterfree,,,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
Weedle,13.0,Weedle,Beedle,1.0,I,0.3,3.2,35.6,Bug,Poison,Shield Dust,,Run Away,Brown,50.0,50.0,0.0,15.0,Bug,,255.0,39.0,1000000.0,Ordinary,,,40.0,35.0,30.0,20.0,20.0,50.0,195.0,32.5,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Medium Fast,15.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,Hairy Bug,3 stages evolution,Weedle,Level ,Kakuna,Level ,Beedrill,,,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
Kakuna,14.0,Kakuna,Cocoon,1.0,I,0.6,10.0,27.8,Bug,Poison,Shed Skin,,,Yellow,50.0,50.0,0.0,15.0,Bug,,120.0,72.0,1000000.0,Ordinary,,,45.0,25.0,50.0,25.0,25.0,35.0,205.0,34.166666666666664,0.0,0.0,2.0,0.0,0.0,0.0,2 Defense,50.0,Medium Fast,15.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,Cocoon,3 stages evolution,Weedle,Level ,Kakuna,Level ,Beedrill,,,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
Beedrill(Mega EV),15.0,Beedrill,,1.0,I,1.4,40.5,,Bug,Poison,Adaptability,,,Yellow,50.0,50.0,0.0,15.0,Bug,,45.0,223.0,1000000.0,Ordinary,Mega,,65.0,150.0,40.0,15.0,80.0,145.0,495.0,,0.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,15.0,Beedrill,Spear,1.0,I,1.0,29.5,29.5,Bug,Poison,Swarm,,Sniper,Yellow,50.0,50.0,0.0,15.0,Bug,,45.0,178.0,1000000.0,Ordinary,,,65.0,90.0,40.0,45.0,80.0,75.0,395.0,65.83333333333333,0.0,2.0,0.0,0.0,1.0,0.0,"2 Attack, 1 Special Defense",50.0,Medium Fast,15.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Beedrill,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,Poison Bee,3 stages evolution,Weedle,Level ,Kakuna,Level ,Beedrill,,,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
Pidgey,16.0,Pidgey,Poppo,1.0,I,0.3,1.8,20.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50.0,50.0,0.0,15.0,Flying,,255.0,50.0,1058960.0,Ordinary,,,40.0,45.0,40.0,35.0,35.0,56.0,251.0,41.833333333333336,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Medium Slow,15.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,Tiny Bird,3 stages evolution,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
Pidgeotto,17.0,Pidgeotto,Pigeon,1.0,I,1.1,30.0,24.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50.0,50.0,0.0,15.0,Flying,,120.0,122.0,1058960.0,Ordinary,,,63.0,60.0,55.0,50.0,50.0,71.0,349.0,58.16666666666666,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Medium Slow,15.0,Medium Slow,1059860.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,Bird,3 stages evolution,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
Pidgeot(Mega EV),18.0,Pidgeot,,1.0,I,2.2,50.5,,Normal,Flying,No Guard,,,Brown,50.0,50.0,0.0,15.0,Flying,,45.0,261.0,1058960.0,Ordinary,Mega,,83.0,80.0,80.0,135.0,80.0,121.0,579.0,,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,18.0,Pidgeot,Pigeot,1.0,I,1.5,39.5,17.6,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50.0,50.0,0.0,15.0,Flying,,45.0,216.0,1058960.0,Ordinary,,,83.0,80.0,75.0,70.0,70.0,101.0,479.0,79.83333333333333,0.0,0.0,0.0,0.0,0.0,3.0,3 Speed,50.0,Medium Slow,15.0,Medium Slow,1059860.0,1.0,0.0,0.0,0.0,0.0,0.0,,Mega Pidgeot,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,Bird,3 stages evolution,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
Rattata(Alolan),19.0,Rattata,,7.0,VII,0.3,3.8,,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50.0,50.0,0.0,15.0,Ground,,255.0,51.0,1000000.0,Ordinary,,Alolan,30.0,56.0,35.0,25.0,35.0,72.0,253.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,19.0,Rattata,Koratta,1.0,I,0.3,3.5,38.9,Normal,,Run Away,Guts,Hustle,Purple,50.0,50.0,0.0,15.0,Ground,,255.0,51.0,1000000.0,Ordinary,,,30.0,56.0,35.0,25.0,35.0,72.0,253.0,42.16666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Medium Fast,15.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Mouse,2 stages evolution,Rattata,Level,Raticate,,,,,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
Raticate(Alolan),20.0,Raticate,,7.0,VII,0.7,25.5,,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50.0,50.0,0.0,15.0,Ground,,127.0,145.0,1000000.0,Ordinary,,Alolan,75.0,71.0,70.0,40.0,80.0,77.0,413.0,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate,20.0,Raticate,Ratta,1.0,I,0.7,18.5,37.8,Normal,,Run Away,Guts,Hustle,Brown,50.0,50.0,0.0,15.0,Ground,,127.0,145.0,1000000.0,Ordinary,,,55.0,81.0,60.0,50.0,70.0,97.0,413.0,68.83333333333333,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Medium Fast,15.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,Mouse,2 stages evolution,Rattata,Level,Raticate,,,,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
Spearow,21.0,Spearow,Onisuzume,1.0,I,0.3,2.0,22.2,Normal,Flying,Keen Eye,,Sniper,Brown,50.0,50.0,0.0,15.0,Flying,,255.0,52.0,1000000.0,Ordinary,,,40.0,60.0,30.0,31.0,31.0,70.0,262.0,43.66666666666666,0.0,0.0,0.0,0.0,0.0,1.0,1 Speed,50.0,Medium Fast,15.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,Tiny Bird,2 stages evolution,Spearow,Level ,Fearow,,,,,"Inept at flying high. However, it can fly around very fast to protect its territory."
Fearow,22.0,Fearow,Onidrill,1.0,I,1.2,38.0,26.4,Normal,Flying,Keen Eye,,Sniper,Brown,50.0,50.0,0.0,15.0,Flying,,90.0,155.0,1000000.0,Ordinary,,,65.0,90.0,65.0,61.0,61.0,100.0,442.0,73.66666666666667,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Medium Fast,15.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,Beak,2 stages evolution,Spearow,Level ,Fearow,,,,,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
Ekans,23.0,Ekans,Arbo,1.0,I,2.0,6.9,1.7,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50.0,50.0,0.0,20.0,Ground,Dragon,255.0,58.0,1000000.0,Ordinary,,,35.0,60.0,44.0,40.0,54.0,55.0,288.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,1 Attack,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,Snake,2 stages evolution,Ekans,Level ,Arbok,,,,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
Arbok,24.0,Arbok,Arbok,1.0,I,3.5,65.0,5.3,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50.0,50.0,0.0,20.0,Ground,Dragon,90.0,157.0,1000000.0,Ordinary,,,60.0,95.0,69.0,65.0,79.0,80.0,448.0,74.66666666666667,0.0,2.0,0.0,0.0,0.0,0.0,2 Attack,50.0,Medium Fast,20.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,Cobra,2 stages evolution,Ekans,Level ,Arbok,,,,,The frightening patterns on its belly have been studied. Six variations have been confirmed.
Pikachu,25.0,Pikachu,Pikachu,1.0,I,0.4,6.0,37.5,Electric,,Static,,Lightning Rod,Yellow,50.0,50.0,0.0,10.0,Ground,Fairy,190.0,112.0,1000000.0,Ordinary,,,35.0,55.0,40.0,50.0,50.0,90.0,320.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,2.0,2 Speed,50.0,Medium Fast,10.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,Gigantamax Pikachu,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Mouse,3 stages evolution,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
Raichu,26.0,Raichu,Raichu,1.0,I,0.8,30.0,46.9,Electric,,Static,,Lightning Rod,Yellow,50.0,50.0,0.0,10.0,Ground,Fairy,75.0,243.0,1000000.0,Ordinary,,,60.0,90.0,55.0,90.0,80.0,110.0,485.0,80.83333333333333,0.0,0.0,0.0,0.0,0.0,3.0,3 Speed,50.0,Medium Fast,10.0,Medium Fast,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Mouse,3 stages evolution,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Its long tail serves as a ground to protect itself from its own high-voltage power.
Raichu(Alolan),26.0,Raichu,,7.0,VII,0.7,21.0,,Electric,Psychic,Surge Surfer,,,Brown,50.0,50.0,0.0,10.0,Ground,Fairy,75.0,243.0,1000000.0,Ordinary,,Alolan,60.0,85.0,50.0,95.0,85.0,110.0,485.0,,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew(Alolan),27.0,Sandshrew,,7.0,VII,0.7,40.0,,Ice,Steel,Snow Cloak,,Slush Rush,White,50.0,50.0,0.0,20.0,Ground,,255.0,60.0,1000000.0,Ordinary,,Alolan,50.0,75.0,90.0,10.0,35.0,40.0,300.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew,27.0,Sandshrew,Sand,1.0,I,0.6,12.0,33.3,Ground,,Sand Veil,,Sand Rush,Yellow,50.0,50.0,0.0,20.0,Ground,,255.0,60.0,1000000.0,Ordinary,,,50.0,75.0,85.0,20.0,30.0,40.0,300.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,1 Defense,50.0,Medium Fast,20.0,Medium Fast,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,Mouse,2 stages evolution,Sandshrew,Level,Sandslash,,,,,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
Sandslash(Alolan),28.0,Sandslash,,7.0,VII,1.2,55.0,,Ice,Steel,Snow Cloak,,Slush Rush,Blue,50.0,50.0,0.0,20.0,Ground,,90.0,158.0,1000000.0,Ordinary,,Alolan,75.0,100.0,120.0,25.0,65.0,65.0,450.0,,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
