,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Beedrill,15,Beedrill,Spear,1,1.0,29.5,Bug,Poison,Swarm,,Sniper,Yellow,50,50,0,15,Bug,,45,178,1000000,Ordinary,,,65,90,40,45,80,75,395,65.8,0,2,0,0,1,0,"2 Attack, 1 Special Defense",50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,Mega Beedrill,,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5,29.5,Poison Bee,3 stages evolution,Weedle,Level ,Kakuna,Level ,Beedrill,,,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
Pidgey,16,Pidgey,Poppo,1,0.3,1.8,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,255,50,1058960,Ordinary,,,40,45,40,35,35,56,251,41.8,0,0,0,0,0,1,1 Speed,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,20,Tiny Bird,3 stages evolution,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
Pidgeotto,17,Pidgeotto,Pigeon,1,1.1,30.0,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,120,122,1058960,Ordinary,,,63,60,55,50,50,71,349,58.2,0,0,0,0,0,2,2 Speed,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,24.8,Bird,3 stages evolution,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
Pidgeot (Mega EV),18,Pidgeot,,1,2.2,50.5,Normal,Flying,No Guard,,,Brown,50,50,0,15,Flying,,45,261,1058960,Ordinary,Mega,,83,80,80,135,80,121,579,96.5,0,0,0,0,0,3,3 Speed,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,18,Pidgeot,Pigeot,1,1.5,39.5,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,Brown,50,50,0,15,Flying,,45,216,1058960,Ordinary,,,83,80,75,70,70,101,479,79.8,0,0,0,0,0,3,3 Speed,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,Mega Pidgeot,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,17.6,Bird,3 stages evolution,Pidgey,Level ,Pidgeotto,Level ,Pidgeot,,,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
Rattata (Alolan),19,Rattata,,7,0.3,3.8,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,255,51,1000000,Ordinary,,Alolan,30,56,35,25,35,72,253,42.2,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,19,Rattata,Koratta,1,0.3,3.5,Normal,,Run Away,Guts,Hustle,Purple,50,50,0,15,Ground,,255,51,1000000,Ordinary,,,30,56,35,25,35,72,253,42.2,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,38.9,Mouse,2 stages evolution,Rattata,Level,Raticate,,,,,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
Raticate (Alolan),20,Raticate,,7,0.7,25.5,Dark,Normal,Gluttony,Hustle,Thick Fat,Black,50,50,0,15,Ground,,127,145,1000000,Ordinary,,Alolan,75,71,70,40,80,77,413,68.8,0,0,0,0,0,2,2 Speed,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate,20,Raticate,Ratta,1,0.7,18.5,Normal,,Run Away,Guts,Hustle,Brown,50,50,0,15,Ground,,127,145,1000000,Ordinary,,,55,81,60,50,70,97,413,68.8,0,0,0,0,0,2,2 Speed,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,37.8,Mouse,2 stages evolution,Rattata,Level,Raticate,,,,,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
Spearow,21,Spearow,Onisuzume,1,0.3,2.0,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,255,52,1000000,Ordinary,,,40,60,30,31,31,70,262,43.7,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,22.2,Tiny Bird,2 stages evolution,Spearow,Level ,Fearow,,,,,"Inept at flying high. However, it can fly around very fast to protect its territory."
Fearow,22,Fearow,Onidrill,1,1.2,38.0,Normal,Flying,Keen Eye,,Sniper,Brown,50,50,0,15,Flying,,90,155,1000000,Ordinary,,,65,90,65,61,61,100,442,73.7,0,0,0,0,0,2,2 Speed,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,26.4,Beak,2 stages evolution,Spearow,Level ,Fearow,,,,,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
Ekans,23,Ekans,Arbo,1,2.0,6.9,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,255,58,1000000,Ordinary,,,35,60,44,40,54,55,288,48.0,0,1,0,0,0,0,1 Attack,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,1.7,Snake,2 stages evolution,Ekans,Level ,Arbok,,,,,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
Arbok,24,Arbok,Arbok,1,3.5,65.0,Poison,,Intimidate,Shed Skin,Unnerve,Purple,50,50,0,20,Ground,Dragon,90,157,1000000,Ordinary,,,60,95,69,65,79,80,448,74.7,0,2,0,0,0,0,2 Attack,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,5.3,Cobra,2 stages evolution,Ekans,Level ,Arbok,,,,,The frightening patterns on its belly have been studied. Six variations have been confirmed.
Pikachu,25,Pikachu,Pikachu,1,0.4,6.0,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,190,112,1000000,Ordinary,,,35,55,40,50,50,90,320,53.3,0,0,0,0,0,2,2 Speed,50,Medium Fast,10,Medium Fast,1000000,0,0,0,0,0,0,0,Gigantamax Pikachu,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,37.5,Mouse,3 stages evolution,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
Raichu,26,Raichu,Raichu,1,0.8,30.0,Electric,,Static,,Lightning Rod,Yellow,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,,60,90,55,90,80,110,485,80.8,0,0,0,0,0,3,3 Speed,50,Medium Fast,10,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1,46.9,Mouse,3 stages evolution,Pichu,Level Up with Happiness Value at 220,Pikachu,Use Thunder Stone,Raichu,,,Its long tail serves as a ground to protect itself from its own high-voltage power.
Raichu (Alolan),26,Raichu,,7,0.7,21.0,Electric,Psychic,Surge Surfer,,,Brown,50,50,0,10,Ground,Fairy,75,243,1000000,Ordinary,,Alolan,60,85,50,95,85,110,485,80.8,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew (Alolan),27,Sandshrew,,7,0.7,40.0,Ice,Steel,Snow Cloak,,Slush Rush,White,50,50,0,20,Ground,,255,60,1000000,Ordinary,,Alolan,50,75,90,10,35,40,300,50.0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew,27,Sandshrew,Sand,1,0.6,12.0,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,255,60,1000000,Ordinary,,,50,75,85,20,30,40,300,50.0,0,0,1,0,0,0,1 Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,33.3,Mouse,2 stages evolution,Sandshrew,Level,Sandslash,,,,,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
Sandslash (Alolan),28,Sandslash,,7,1.2,55.0,Ice,Steel,Snow Cloak,,Slush Rush,Blue,50,50,0,20,Ground,,90,158,1000000,Ordinary,,Alolan,75,100,120,25,65,65,450,75.0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,28,Sandslash,Sandpan,1,1.0,29.5,Ground,,Sand Veil,,Sand Rush,Yellow,50,50,0,20,Ground,,90,158,1000000,Ordinary,,,75,100,110,45,55,65,450,75.0,0,0,2,0,0,0,2 Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1,29.5,Mouse,2 stages evolution,Sandshrew,Level,Sandslash,,,,,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
Nidoran F,29,Nidoran F,,1,0.4,7.0,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Monster,Ground,235,55,1058960,Ordinary,,,55,47,52,40,40,41,275,45.8,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,30,Nidorina,Nidorina,1,0.8,20.0,Poison,,Poison Point,Rivalry,Hustle,Blue,0,100,0,20,Undiscovered,,120,128,1058960,Ordinary,,,70,62,67,55,55,56,365,60.8,2,0,0,0,0,0,2 HP,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,31.3,Poison Pin,3 stages evolution,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.
Nidoqueen,31,Nidoqueen,Nidoqueen,1,1.3,60.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,Blue,0,100,0,20,Undiscovered,,45,253,1058960,Ordinary,,,90,92,87,75,85,76,505,84.2,3,0,0,0,0,0,3 HP,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,35.5,Drill,3 stages evolution,Egg,When Female,Nidoran♀,Level 16,Nidorina,Use Moonstone,Nidoqueen,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack."
Nidoran M,32,Nidoran M,,1,0.5,9.0,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,235,55,1058960,Ordinary,,,46,57,40,40,40,50,273,45.5,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorino,33,Nidorino,Nidorino,1,0.9,19.5,Poison,,Poison Point,Rivalry,Hustle,Purple,100,0,0,20,Monster,Ground,120,128,1058960,Ordinary,,,61,72,57,55,55,65,365,60.8,0,2,0,0,0,0,2 Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5,24.1,Poison Pin,3 stages evolution,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone."
Nidoking,34,Nidoking,Nidoking,1,1.4,62.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,Purple,100,0,0,20,Monster,Ground,45,253,1058960,Ordinary,,,81,102,77,85,75,85,505,84.2,0,3,0,0,0,0,3 Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5,31.6,Drill,3 stages evolution,Egg,When Male,Nidoran♂,Level 16,Nidorino,Use Moonstone,Nidoking,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down."
Clefairy,35,Clefairy,Pippi,1,0.6,7.5,Fairy,,Cute Charm,Magic Guard,Friend Guard,Pink,25,75,0,10,Fairy,,150,113,800000,Ordinary,,,70,45,48,60,65,35,323,53.8,2,0,0,0,0,0,2 HP,140,Fast,10,Fast,800000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,20.8,Fairy,3 stages evolution,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
Clefable,36,Clefable,Pixy,1,1.3,40.0,Fairy,,Cute Charm,Magic Guard,Unaware,Pink,25,75,0,10,Fairy,,25,242,800000,Ordinary,,,95,70,73,95,90,60,483,80.5,3,0,0,0,0,0,3 HP,140,Fast,10,Fast,800000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,23.7,Fairy,3 stages evolution,Cleffa,Level Up with Happiness Value at 220,Clefairy,Use Moon Stone,Clefable,,,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people."
Vulpix,37,Vulpix,Rokon,1,0.6,9.9,Fire,,Flash Fire,,Drought,Brown,25,75,0,20,Ground,,190,60,1000000,Ordinary,,,38,41,40,50,65,65,299,49.8,0,0,0,0,0,1,1 Speed,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,27.5,Fox,2 stages evolution,Vulpix,Use Fire Stone,Ninetales,,,,,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
Vulpix (Alolan),37,Vulpix,,7,0.6,9.9,Ice,,Snow Cloak,,Snow Warning,White,25,75,0,20,Ground,,190,60,1000000,Ordinary,,Alolan,38,41,40,50,65,65,299,49.8,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
